dealer 发牌人
subsequent 随后的，之后的
deck 一副
Ace A牌
entail 牵涉，伴随...产生
elide 忽略
nuance 细微差别
hierarchy 等级制度，分级系统
mutate 转变，转换
essence 本质，实质
skeleton 骨骼，骨架；框架
delve 探索，钻研
Put another way 换句话说
emphatically 显然地
incorporate 并入，包含
lofty 崇高的，高耸的
pragmatically 讲究实际地
sophisticated 复杂的
formalize 使具体化
numerous 很多的
reStructuredText (RST)
profound 极大的
characterize 刻画，成为...的特征
implicit 含蓄的，固有的
form 种类，类型
defer 推迟
polymorphism 多态
convoluted 错综复杂的；晦涩难懂的
Refactoring 重构；重整
